,0
0,9.607964515686035
1,9.576669692993164
2,9.631549835205078
3,9.626596450805664
4,9.633536338806152
5,9.573559761047363
6,9.558538436889648
7,9.64565372467041
8,9.632017135620117
9,9.551002502441406
10,9.627917289733887
11,9.53481674194336
12,9.597392082214355
13,9.594613075256348
14,9.595823287963867
15,9.583456039428711
16,9.596713066101074
17,9.61646842956543
18,9.520557403564453
19,9.571523666381836
20,9.57509994506836
21,9.560521125793457
22,9.538777351379395
23,9.535099983215332
24,9.521974563598633
25,9.493295669555664
26,9.499368667602539
27,9.533609390258789
28,9.511049270629883
29,9.485097885131836
30,9.453146934509277
31,9.445528030395508
32,9.438775062561035
33,9.425405502319336
34,9.404767036437988
35,9.484600067138672
36,9.396673202514648
37,9.379578590393066
38,9.350343704223633
39,9.366998672485352
40,9.361513137817383
41,9.34172248840332
42,9.3296537399292
43,9.3235502243042
44,9.391767501831055
45,9.420111656188965
46,9.394392013549805
47,9.36146068572998
48,9.37752628326416
49,9.344504356384277
50,9.30308723449707
51,9.249351501464844
52,9.273194313049316
53,9.264362335205078
54,9.260897636413574
55,9.208358764648438
56,9.203722953796387
57,9.230330467224121
58,9.221508026123047
59,9.182513236999512
60,9.167545318603516
61,9.155835151672363
62,9.132967948913574
63,9.074222564697266
64,9.114659309387207
65,9.07795524597168
66,9.109010696411133
67,9.032424926757812
68,9.09372329711914
69,9.06422233581543
70,9.02741813659668
71,8.985565185546875
72,9.00240421295166
73,9.008028030395508
74,8.987502098083496
75,8.937780380249023
76,8.967792510986328
77,8.88393783569336
78,8.93809700012207
79,8.895894050598145
80,8.904351234436035
81,8.819490432739258
82,8.827305793762207
83,8.854537010192871
84,8.8356351852417
85,8.831653594970703
86,8.788228988647461
87,8.760921478271484
88,8.785508155822754
89,8.754256248474121
90,8.697833061218262
91,8.685567855834961
92,8.663135528564453
93,8.66376781463623
94,8.701948165893555
95,8.665567398071289
96,8.609479904174805
97,8.61070442199707
98,8.635764122009277
99,8.586881637573242
100,8.629894256591797
101,8.609448432922363
102,8.59676742553711
103,8.508593559265137
104,8.557315826416016
105,8.5415678024292
106,8.536667823791504
107,8.516347885131836
108,8.487810134887695
109,8.434590339660645
110,8.499783515930176
111,8.48099422454834
112,8.431151390075684
113,8.446958541870117
114,8.383785247802734
115,8.396836280822754
116,8.330224990844727
117,8.359747886657715
118,8.387730598449707
119,8.36366081237793
120,8.412126541137695
121,8.271684646606445
